CSA,Czech Airlines a.s.
4HZ,Military - U.S. Navy / Military -  U.S. Navy
7ZE,Uzbek Civil Aviation Administration
6JQ,TropiAir - Air Taxi
9BV,Air Tahiti
8MI,Air Taxi - Air Grand Canyon Inc.
1EN,ADES Colombia
5WR,Metro Cargo
3GE,Lauda Air
7YJ,Agape Flight Inc.
0QN,Carib Air Transport
9BA,Okada Air
2TF,Helicol Colombia
1DR,Aerochasqui
4VW,L'Express Airlines
8OB,Nationair (chartered by Nigeria Airways)
6YO,Jetstream Inc.
0QS,Air Taxi -Wilderness Aviation Inc.
4IX,Vanair
2TK,Avalki Air
5LP,Air Taxi - Haines Airways Inc.
4VB,Transports Aériens de la Guinee-Bissau
7NG,Temsco Airlines
9QX,Air Taxi - Bohemia Inc.
3IC,Airtech Rajawaldi Udara
7AH,Lineas Aéreas Colombianas
5KT,Canair Cargo
8CY,CORAL Colombia
7NL,Deraya Air Taxi
0FQ,EDELCA
4XU,Corporate Mobility Inc. - Private
2HH,Military - Azerbaijan Air Force
6ZM,Nordeste Linhas Aereas
8CD,Baron Aviation
2UI,Air Taxi - Airis Helicopters Inc.
0EV,Azerbaijani Airlines
3WZ,STASA
7OE,Tartarstan Airlines
5ZR,Military - Força Aérea Brasileira
9RW,Bruno Air
3JA,ClassiWings
1TN,Commutair
3WE,Air Taxi - Air Vegas Inc.
7OJ,Air Rainbow
0GO,Gambcrest
8QA,Frigorifico Santa Rita
2IF,Lina Congo
6BK,CC Air
4LX,Golden Star Air Cargo
8DB,Kamchatavia
6NO,Air Bissau
0GT,Military - Kenyan Air Force
1IK,Perris Valley Aviation
5AP,Saha Airline Services
7DG,COPA (Panama)
1VL,GP Express Airlines
9FY,Jet Charter Group
3XC,Air taxi
6PH,Adventure Airlines
5AU,Krasnoyarskavia
8SZ,Caribbean Air Carrier - Air Taxi
2KD,Military - Sri Lanka Air Force
0UQ,ArctiCircle Air Service
4MV,Military - Unified Yemen Air Force
2XH,Georgian Air
6PM,Mandala Airlines
9HR,Volga-Dnepr Airlines
8RE,Aero Eslava
1JI,Crasa - Air Taxi
5BN,Air Taxi - Western Helicopter Inc.
3MA,China General Aviation Corporation
5OR,Servicios Aereos Santa Ana
9GW,Lone Star Airlines
1JN,NewCal Aviation
4BS,Military - Salvadorian Air Force
8TX,Military - Peruvian Air Force - TANS
6DJ,Professional Aviation Services
0VO,EXA Inc.
8GB,Expresso Aéreo
2YG,Air Taxi - Hawaii Helicopters Inc.
5QK,Aero Ejecutivos
4AX,Avesca Colombia
7TC,Yakutavia
9VT,Military - Federal Nigerian Air Force
3NY,Miltiary - U.S. Airforce
1YL,Wuhan Airlines
5QP,Kiev Production Association
8IU,Syktyvkar Avia
7SH,Air Taxi - Alpine Aviation
0KM,Air Taxi - Baker Aviation Inc.
4CQ,Vietnam Airlines
2ND,Aerocaribbean - Charter
4PU,Air Taxi - Wilderness Aviation Inc.
8HZ,China Southern Airlines
1ZE,Aero Sudpacifico
0KQ,Scibe Airlift Cargo Zaire
3CV,Libya Arab Airlines / Military -  Libya Air Force
7UA,Air Taxi - South Coast Helicopters Inc.
5EN,Lufthansa Cityline
9WR,Titan Airways
7HE,Trans Service Airlift
1ZJ,Pan Malaysian Air Transport
4RO,Iran Air Tours  /  Military - Iranian Air Force
3BA,Cargo Three Panama
6TF,Palair Macedonian
8WW,Air Taxi - Guinn Flying Service
2OB,Oeste Linhas Aereas
0YO,Air Taxi - Sea PacifiInc.
4QS,Carga del Caribe
7IX,Tajikistan Airlines
6TK,Military - Georgian Air Force
9LP,Hyannis Air Service - Air Taxi
3DT,China Northwest Airlines
1NG,Asiana Airlines
3QX,Hornbill Airways
7IC,Everest Air
0AH,Air Taxi - Air Medical Leasing
9LU,American International Airways
2DY,Sakha Airlines
6VD,Transair Georgia Airlines
4FQ,Hibiscus Air
6IH,Roadrunner Airlines
0AM,China Northern Airlines
3SR,Magistralnye Avialinii
2CD,Aviaimpex (Macedonia)
5UI,Express Airlines - Northwest Airlink
9MN,ArctiWings & Rotors
7XZ,Air Senegal / Gambia Airways
1PE,Lao Aviation
9ZR,Air Taxi - Martin Aviation LP
3RW,Kuban Airlines
6JA,Baikal Air
5UN,Kimura International
8MS,AtlantiCoast Airlines (United Express)
0OJ,North Western Air Transport
4GO,British World Airways
2RB,Sahara
6JF,Jetcraft
0BK,Salair
8LX,Chalk's International Airlines
1DB,Aurukun Air Services
5VG,Orion - Air Taxi
3GT,Aeroflot Russian International Airways
5IK,Military - U.S. Air Force / Military U.S. Air Force
9AP,Air Taxi - El Aero Services Inc.
1DG,KLM Cityhopper
4VL,Rwanda Government
8NQ,Military - U.S. Army / Military U.S. Army
6YD,Action Airlines
0QH,Lineas Aereas de los Libertadores
8AU,Rico Taxi Aero
2SZ,Arall
4VQ,Transoriente Colombia
8NV,Aerolineas Cuahonte
9PM,TAESA
3HR,Air Taxi - Sun Western Flyers Inc.
1SE,Air Ivorie
5KI,Military - Dostum-Galboddin Militia
9CN,Airbus Industrie
7MA,Air Mauritanie
1EF,Air Taxi - Peninsula Airways
4WJ,Air Taxi - Papillion Helicopters Ltd.
3HW,Air Martinique
4JN,Sankuru Air Service
8BS,Alas Chiricanas
2TX,Air Taxi - Uyak Air Services Inc.
0EK,Air Taxi - Talon Air Services Inc.
4WO,Air Taxi - National Helicopters
7OT,Air Taxi - Lake Clark Air Inc.
6YG,Aerocontroctors - Charter
9QK,Oriental Airlines
7BX,Heavylift Cargo Airlines
1TC,Cheremshanka Airlines
3VT,TAM Paraguay
7NY,Radeair
9QP,Arsenyev Aviation Production Association
2IU,Seaview Aviation
1SH,SELVA
4LM,Iran Asseman Airlines
8DQ,Transportes Aereos Pegaso
6ND,Trigana Air Service
0FI,SA Amazonica
2IZ,Ameriflight
5AE,Air Taxi - Ryan Air Service
4KR,SL Aviation Services
7CV,Servivensa
1UA,Phoenix Aviation
9FN,Intercontinental de Aviacion
3XR,Empire Airlines
6PW,Canada Jet Charters
5ZJ,Air Taxi - Coastal Airways Inc.
7CA,Air Taxi - Wolfe Air Aviation Ltd.
0UF,Abakan Airlines
2WW,Leadair - Charter
6OB,Transasia Airways
9GG,Union Flights
8RT,Kiwi West Aviation
1JX,Transporturile Aeriene Romane (TAROM)
0TK,IAI 1124 Westwind
3LP,Bearskin Airlines / Air Sandy
7DT,American Jet
5OG,Knight Air
9GL,LACOL
2YQ,Senegalair
1IC,ValuJet
4AH,Ansett New Zealand
3LU,Volga Air
6DY,Harka Air Services
0VD,Air Taxi - Island Air Service
8FQ,Garamut Aviation
2YV,Air Taxi - Lab Flying Service Inc.
5QZ,Milne Bay Air
4AM,Military - Madagascar Air Force
7SR,Transniugini Airways
6DD,Aero Air
9VI,Bourag Indonesia Airlines
3NN,North Star Air Cargo
1XA,Bimini Air Charter Inc.
5PE,Tamair
8HJ,Norilsk Flight Company
7SW,Western Straits Air
0KA,Sabang Merauke Raya Air Charter
9UN,Kirghizia Aba Zaoldoru
2MS,Air Taxi - Durango Air Service
4PJ,Islands Nationair
8HO,TACSA
1ZT,Azerbaijan Airlines
0JF,Far East Aviation
3BK,Air St. Martin
2MX,Romanian Banat Air
5EC,Mustique Airways
9WG,Military - Nigerian Air Force
7GT,Soundsair
1YY,Lineas Aereas del Caribe
4QD,Business Air Connection
3BP,"Alas Nacionales, leased from Birgen Air"
6TU,Aérotaxi Cachanilla
5DG,Military - Taliban Militia
8VL,Hati Express
2NQ,AVCOM
0YD,Private Wings
4QH,Military - Sudanese Air Force
7IM,Aero Tropical
6SZ,Compania de Aviacion Faucett SA (Peru)
9LE,Madrid Taxi Aéreo - Charter
8VQ,Military - Peruvian Army Aviation
1NV,Akhal Air
3QM,Avia Air Aruba
7IR,Key West Sea Plane Service - Air Taxi
1AW,Krasnoyarskie Avialinii
9KJ,Federal Airlines
2CN,Buffalo Narrows Airways
1NA,Aeroservicios Empresariales de Durango
4FF,Hoseba
8XJ,Military - Australian Army Aviation
6HW,China Flying Dragon Aviation (Feilong Airlines)
0ZB,Archana Airlines
2CS,Aerolatino (Aerocaribe)
6UX,Northern Air Cargo
4EK,Myanmar Airways
7WO,First Air
1OT,Harbour Air
9ZG,Spair Air Transport
3RL,Vnokovo Airlines
7JP,Helisul Taxi Aéreo
5TC,Air Taxi - Stearns Air Alaska
7WT,Dutch Dakota Association
0OY,Malu Aviation
4GD,Savanair
2QQ,Air Taxi - Seaside Air Service
6IU,Telford Aviation
0AZ,Million Air
8LM,Tyumen Aviatrans
2DQ,Transported Areos Profesionales - TAPSA
0ND,Jetcom S.A.
4FI,Aviation Development Corporation
5IZ,Saudi Arabian Airlines / Kazastan Airlines
9AE,Kismayo Airlines
1DV,Komi Avia
5VA,United Express  / Private
3FN,ArctiTransportation Services
7XS,Emery Worldwide
0PW,Aircraft Charter Group Inc
9AJ,Tar Heel Aviation
2SO,Skypower Express Airways
6KS,Force Area Populaire de Angola
4UF,Military - Israel Air Force /Military -  Israel Air Force
8MK,Transpolar
6XW,Air Georgian
0PB,Air Pereira
3HG,ALADA
2RT,Stavropol Airlines
5JX,Custom Air Service
9BC,Hageland Aviation Services
7MP,Military - Niger Air Force
9OG,Bazair
3GL,Elbee Airlines
5JC,Haines Airways - Air Taxi
8BH,Sempati Air
2TM,Goroka Air Services
0DZ,Singapore Airlines
4VD,ADC Airlines
2GQ,Fine Air
6YV,Air taxi - TAM
9QZ,Borneo Airways
8AM,TMK Air Commuter
1SR,Military - Luftwaffe / Military - USAF
3VI,Naysa Aerotaxis
7NN,Sowind Air
5XA,STAP
9QE,Terry Air Inc.
2IJ,Aerosweet Airlines (LVOV)
1SW,SilkAir
4KB,Military - Greek Air Force
8CF,Renan Airways
6NS,Parsa
8PJ,Aeroservice International
2HO,Cebu PacifiAir
5ZT,Air Luxor
4KF,Military - Sudan Air Force
7CK,Air Memphis
1UP,Linea Aérea Mexicana de Carga
9EC,Military - Lao People's Liberation Army Air Force
3WG,Air Taxi - US Helicopters Inc.
1HT,Propair
5ZY,Air Taxi - Ohana Helicopter Tours
8RD,ATI Aircompany
7BP,Alas del Sur
0TU,Ukraine Aviation Transport Company
2WL,Plane Sailing
6OQ,Swifair
4YD,Selva Taxi Aero
8QI,Alliance Airlines
1IM,Proteus Air / Private
0TZ,Harbour Air Seaplanes Ltd.
3LE,Alada
7DI,Vincent Aviation
5NV,Lumbini Airways
9FA,Air Anguilla
7QM,Speed Service Couriers
1IR,Permaviatrans
4AW,Rusts Flying Service Inc.
3KJ,Air taxi - Air Safaris Inc.
6DN,Paukn Air
0VS,Cabo Verde Airlines
8FF,Lionair
0HW,Congo Airline
4AB,Ararat Avia
7SG,Capital Taxi Aereo
6CS,TanaMana Aviation
9UX,Living Water Teaching Ministries Charter
3MC,Regency Express Air
1XO,Yates Aviation
5PT,Air Satellite
3ZG,Khors Aircompany
7RL,Zanex
0JP,Transafrik - United Nations Charter
9UC,Channel Express
2MH,Military - German Air National Guard
4OY,Kelowna Flightcraft Air Charter
8GD,Uzu Air
6RQ,Necon Air
0JU,Fuerza Aérea Nicaragua
3BZ,Savannair
2LM,Air Karibu
5DR,Minerva Airlines
9VV,ALIANSA Colombia
7GI,Provincial Airlines
9IZ,Manacá Táxi Aéreo
3AE,Military - Malaysian Air Force
7SJ,Malindi Air Services
5DV,Air Taxi - Coastal Helicopters Inc.
8VA,Blue Water Aviation Services
2NF,Nightexpress
0XS,LANC Colombia
4QW,Lufthansa Cargo Airlines
2AJ,Aero Jet Express
6SO,La Costena
8UF,Air Fiji
2NK,TACV-Cabo Verde Airlines
3PB,Regionnair
7HG,Uni Air
5ST,Uzbekistan Airways
9KX,"LAPA, Lineas Aereas Privadas Argentinas"
3CC,Northern Air (Tanzania)
1MP,Edinburgh Air Charter
5EU,Air Taxi - New England Airlines
8WY,Greek Government
6HL,Norte Jet Táxi Aéreo
8JC,Big Island Airlines
2BH,Aramco Associated Company
6TM,Avioriprese Jet Executive
4EZ,Military - Venezuelan Army
8WD,Air Taxi - Stanley Air Taxi
1OI,Si Fly - U.N. charter
0YV,DHL Aviation Africa
1BM,Tashkent Aircraft Production Corporation
5TR,Charter - Flightline Charter Services
7VI,Air Taxi - Grant Aviation Inc.
1NN,Asian Spirit
4FS,College of the Ozarks
3QE,Charter - Twin Air HB
6IJ,Skyline Airways
5SW,Ecuato Guineana de Aviacion
8KB,Crossair
2DF,Avisto
0NS,Top Air - Air Taxi
4FX,Kenya Airways
6HO,Military - IslamiRepubliof Iran Air Force
9AT,"Air Taxi - Iliamna, Air Taxi Inc."
8KG,Vologodskiye Airlines
1CK,Points North Air Services
5UP,Military - Ejército del Aire
3FC,Sky Cabs
7XH,Uralex
0PL,Taxval
9ZY,Kivu Air Services
1CP,Military - Centrafricain Airlines
4UU,Air Philippines
8MZ,North Coast Aviation
6WL,Northern Executive Aviation
0OQ,Trans Guyana Airways
3GV,Price Aircraft Company
2RI,Avirex
5JM,Executive Airlines
4TZ,Streamline
7LE,Whyalla Airlines
9OV,Ghana Airlink
3GA,ANT Air Taxi
6YF,Air taxi - Jao Air Taxi
5IR,Universal Jet Aviation
8AW,Military - Japanese Air Self-Defence Force
7LJ,Win Win Aviation
0DN,Indian Airlines/Alliance Airlines
4VS,Airwave Transport
2FF,Allied Air Freight
6XK,Blue Hawaiian Helicopters
9QO,Air taxi - Lider Air Taxi
8AB,Military - Fuerza Aérea de Chile
1SG,Patuxent Airways / Private
0CS,Staer Air
3UX,RCMP-GRC Air Services
7NC,Military - Fuerza Aérea Colombiana
5XP,Charter - Central Air
9PT,Cape Smythe Air Service
2HY,Summit Air Charters
1SL,Bombardier Aerospace
4KQ,Aca-Ancargo
3UC,Superior Aviation
6MH,Asa Pesada
8PY,Mayoral Executive Jet
2HD,Servicio Aereo Manchupo
5ZI,Military - People's Liberation Army
4JU,Military - Tentara Nasional Indonesia Navy
7BZ,Skydive Salt Lake - Charter
6MM,MajestiAir Cargo
9ER,Rutaca Airlines
3WV,North Bay Charter
1GI,Lineas Aereas Suramericanas
5YN,Northern Illinois Flight Center
8QS,E.A.S. Aeroservizi
7BE,Gum Air Charter
0TJ,Air taxi - Cuiaba Air Taxi
9DW,Military - Florida Army National Guard
2VA,Vnukovo Airlines
6NF,Sociedade de Aviacao Ligeira Charter
4YS,Air Caraibes
8QW,Jetwingsco Inc. - Private Charter
1IB,Jet Wings
0SO,SFC Vietnam - Charter - Full Account
3KT,Private - Techint  group
2VF,Faraz Qeshm Airlines
5NK,Manunggal Air
7PB,Vladivostokavia
1HG,Private  - Daewoo Shipbuilding
5AL,Private - OverteCompany
3KY,Russ Air Transport Company
6CC,Naske Air
5MP,Papillon Grand Canyon Helicopters of Las Vegas
8FU,Victoria Airlines
0HL,Canadian Air Transat
4ZQ,Ameristar Jet Charter
6CH,Blackhawk Int. Airways  - Private charter
9UM,Binter Mediterráneo
8EZ,Aero Ferinco Charter
1WD,AtlantiAirlines
5OI,Aeronautical Services - Air Taxi
3ZV,Sibir Airlines
7RA,Scandinavian Airlines (SAS) / Private
1JE,Air Saint Maurice Inc.
9TR,PenAir
1WI,Perimeter Airlines
4ON,Air Taxi - Continental Air Taxi
8GS,ERA Aviation - Air Taxi
6QF,Charter - IRS Aero
0IJ,ELK Aviation Co. (leased from Eminex)
4AO,MK Airlines
2LB,"Military - Russian, cargo"
6DF,Air Cargo Express
4NS,Heliandes
8FX,BAL Bremerhaven Airline
9IO,Air Taxi - Air Taxi Inc.
3AT,Agco Corp
5CK,Ibertrans Aérea
9UP,Procuraduría General de la República
7FC,Petroproducción
1XH,Military - Angolan  Air Force
4PL,Tiramavia
2ZY,Military - Russian Navy
6SD,Svedijos Prekés
8UU,Charter - Aerotaxi
2MZ,Priorty Air Charter
0XM,Djibouti Airlines
4PQ,Tadair
7HV,Air China
6RI,SELVA Colombia
9JM,EAS Airlines (Executive Airline Services)
3BR,Sky Executive Air Services
1ME,Airquarius Aviation - Charter
3OV,Military - Angolan Armed Forces
7GA,Marco Zero Air Taxi
9JR,Keystone Air Services Ltd. - Air Taxi
2BW,Bashkirian Airlines / DHL Worldwide Express
6TB,Prestige Airlines (Cargo) Charter
4DO,"Air Taxi - Bigfoot Air of Alaska, LLC"
8VS,Military - Ukraine Air Force
6GF,Pulkovo Aviation Enterprise
0YK,Shangri La Air
3QO,Vostok Aviakompania
2AB,Care Flight International
5SG,Rico Taxi Aéreo
7VX,CAAC Air TraffiManagement Bureau
1NC,Airco Charters - Air Taxi
9XP,Aero Pantanal - Air Taxi
3PT,Total  Air Lines
6HY,Deraps Aviation
5SL,Military - Indian Navy
8KQ,American Virginia
2CU,Mid-AtlantiFreight
0MH,Luxair
2PY,Laoag International Airlines
6HD,Raytheon Aircraft
9ZI,Island Airways Ltd.
8KV,Planemasters
1CZ,Aeromist-Kharkiv
5UE,Ocean Airlines
3ER,US Air Express/Air Midwest
7WV,TANS Airlines
5HI,Aerocom
9ZN,African Commuter Services
2RS,Euro Asia Aviation
1BE,Volare Aviation Enterprise
4TJ,Enimex
6WA,Air Taxi - Great Northern Aircraft Co.
0OF,Military - IslamiRevolution's Guards Corps
8YS,Private - Kabanov - skydiving
2QX,PT Air Regional
5IB,Morris Hancock Flying Club - Charter
4TO,Ukrainian Cargo Airlines -  Congolese Army Charter
7LT,Ukranian-Mediterranean Airlines
1DX,McKinley Air Service - Air Taxi
9NK,Eurojet Italila
3FP,Air Taxi - Marco Zero Air Taxi
1QB,Charter - Air Adventures New Zealand Ltd
5IG,Astro Air Taxi
8AL,Paradise Tour Helicopters
7KY,Brit Air
0CC,Hallo Bay Air - Air Taxi
4UH,ComvaAviation
2FU,Military - Algerian Air Force
4HL,Heringer Air Taxi
8ZQ,BHS - Brazilian Helicopter Services
1SV,Air Sunshine
0CH,Ruiban & Duran Compania Aérea
3UM,Ryan Blake Air Charter
7MR,Jack Harter Helicopters
5XE,Jet Pro
9PI,Servicios Aeronauticos Sucre (SASCA)
7ZV,Khalatyrka
1RA,Tropical Airways
4JE,US Airways Express
3UR,Wasaya Airways
6MW,Sundance Helicopters
8ON,Les Ailes de Gaspé Inc.
2GS,Air taxi - Rumo Notre Air Taxi
0RF,Transmandu
4JJ,CATA Linea Aerea
7BO,Aeroextra
6LB,Heliwork WA Pty Ltd. - Air Taxi
9DG,Huron Air
3VK,Líneas Aéreas Suramericanas
1GX,Pavair
3IO,Union des Transports Aeriens de Guinee
7AT,Flash Air
1SY,Georgia Express
9DK,Tassili Airlines
2VP,Military - Government of Macedonia
6NU,Kish Airlines
4XH,City-Jet
8PL,Azov Avia Airlines
6AY,Military - United States Marine Corps
0SD,Military - United States Air Force
2UU,Air Ambulance - Med-Trans Corp.
5MZ,Procuradoria General de la Republica
7PQ,Venezuelian Government
1HV,Aerotransportes Petroleros
9RI,Charter - Air Cush
3KN,El Magal Aviation
7CR,Rico Linhas Aereas
5ME,Aray-Avia
9EJ,AZAL Cargo Company
2WN,Blue Bird Aviation
0HA,Yeti Airlines
4ZF,Gabon Express
2JR,Air taxi - Aero Air Taxi
6BW,United Nations -  UTair Charter
0TB,Air Trek
8EO,Capital Airlines Inc.
2WS,Dodita Air Cargo
5OX,BHS - Brazilian Helicopter Service  Air Taxi
4YK,Airlines of PNG
5BB,Air Taroma
9TG,Alpine Air Express
1VX,Transworld Safaris
5NC,Volga-Avia Express
8FH,Mavrik Aire Transport
7QU,Jett Paqueteria SA
0IY,Military - Greek Army
8SL,Air Flamence
2KQ,Sarit Airlines
6CU,Pinnacle Airlines/Northwest Airlink
4NH,Aerovanguardia
8FM,Corporate Airlines (American Connection)
0HD,Private - Hendrick Motorsports Inc.
3ZI,Med Flight Air Ambulance - Private
2KV,Business Jet Services
5CZ,Presidental Airways Inc. - Air Taxi
9UE,Glow Air/Air Castle - Charter
7ER,Lion Air
1XW,Grand Aire
4PA,Salmon Air - Air Taxi
3ZN,SAVIARE S.A. - Air Taxi
5CE,Guardia Nacional de Venezuela
8UJ,NHR Táxi-Aéreo
2MO,Military - Colombian government
0WA,Tura Air Enterprise
4OF,AirNow
7GK,Military - U.S. Marines
6RX,Farnair Hungary
9JB,Kam Air
8TO,Action Air Express Inc. - Air Taxi
1LT,Circuit City Stores - Charter
3OK,Indonesian National Police
7GP,Air Global
0YU,Regional Airlines
9IG,West Caribbean Airways
2AL,GT Air
1LY,Military - Fuerza Del Peru
4DD,Kisangani Airlift
8VH,Aero-Tropics
6FU,Transportes Aereos Don Carlos - Charter
0XZ,Military - Zambia Air Force
3PD,Charter - Maniema Union (owner Victoria Air)
2AQ,Marsland Aviation
5SV,Ecuatair
4CH,Tuninter
7UM,Copterline
1MR,Helios Airways
9XE,TANS Peru
3PI,Kavatshi Airlines
6HN,Air Kasai
5RA,Viaçao Cometa
8KF,Wayumi Air Taxi
7UR,"Heli-USA Airways, In- Air Taxi"
0MW,Wimbi Dira Airways
2PN,Morningstar Air Express
6HS,Bellview Airlines
9ZX,Ivolga Avia
8JJ,Sosoliso Airlines
1BO,Chalk's Ocean Airways
0MB,Skyward Aviation
3EG,Evolga
7WK,Military - Iranian Revolutionary Guard Corps Air Force
5GX,Military - Slovak Air Force
9YC,SoniBlue Airways
2QH,Air Cargo Carriers
4TY,TriCoastal Air
3DL,Aerovalles
8YH,Military - Fuerza Aérea Argentina
2QM,ATESA
4SD,Team Air
7KI,Military - Kenya Air Force
6VU,Military - Lybian Arab Air Force
3FE,Yug Avia
1PQ,U.S. Government (leased)
8ZA,King Air Charter
7KN,Armavia
9ME,Saskatchewan Government Northern Air Operations
2EJ,Air São Tomé
4HA,International Jet Charter
8ZF,Air Taxi - MajestiAlliance
0CW,Military - Chadian Air Force
3UB,Naturelink
2EO,Himmelsschreiber
7ZK,Mango Airlines
1RP,Sibir (S7)
5JT,Tracep
5WX,Pulkovo Airlines
2GH,Military - Russian Army
0QU,Gol Airlines / Private
8AD,AtlantiAirways
6LQ,Military - Russian Air Force/Uzbekistan Airways
8NH,Air ambulance - Mercy Air Services
1FM,Air Charter - Tanzanian Air Services
3ID,Adam Air
1SN,DJB Air Charter
3UE,Moldovan Aeriantur-M Air Cargo
1FR,SunQuest Executive Air Charter
5XW,Military - US Army
6ZN,Regional Compagnie Aerienne Europeenne
0RS,Air Turks & Caicos
6MO,Metro Aviation
4WB,Inter-Island
8PF,UTAir Airlines
1HK,Transaviaexport Airlines
9RX,Safe Air Complany
7BG,Paramount Airlilnes
5MT,University of Michigan Health System
7OK,Mongolian Defense Ministry
1GP,Nyika Safaris
3JG,Karibu Airways
0TQ,PMT Air
8DD,Charter - Private
2VH,Liard Air
0GU,Taquan Air Service
4YZ,Atran
6AQ,Southwest Medivac
9SV,Air Moorea
5NR,SeaWind Aviation
3XE,Two Taxi Aero
7PI,Great Lakes Business Complany
9SA,Galaxy Kavatsi Airlines
2KF,One-Two-Go Airlines
6PN,Africa One Congo
0HS,Kapowsin Air Sports
3ZX,Nacional de Aviacion
2JK,Reali Taxi Aereo
5CO,Juba Air Cargo
9UT,Atlasjet Airlines
7EG,"Evergreen Alaska Helicopters, Inc."
9HX,Castle Aviation
3ZC,Fun Air
6RH,Transaven
5BT,Servant Air
2LD,Military - Macedonian Air Force
0WP,Apline Aviation
2YH,Gira Globo Charter
6QM,Santa Barbara Airlines
8TD,BHS - Brazilian Helicopter Service Air Taxi
1LI,United Nations Mission
7FE,Trade Wings Aviation Ltd.
5QR,Blue Wing Airlines
1KN,Avtex Air Services
6FJ,Kata Transportation
8HA,Hewa Bora Airways
5RK,Military - Government of Equatorial Guinea
4CW,Naftogaz
1MG,Southern Sudan Air Connection
9WT,Chelan Air Service
3PX,"Alpine Aviation "
1ZK,Island Express Helicopter Service
5RP,Moskovia Airlines
8JU,Military - Servicio Aereo Nacional
7UG,TACA International Airlines
0ML,Patagonia Airlines
4RU,PHI Air Medical
8JY,Military - Thai Army
0LQ,Air Methods / ClassiHelicopters
3DV,Ababeel Aviaition
5GM,USA Jet Airlines
7ID,Centurian Air Cargo
4SN,Aerocord
3DA,East Coast Jets
8XW,PacifiCoast Airlines
0AN,Junction City Fire Department
4SS,Fly 540
6UJ,Spanair
3RX,Aéreo Ruta Maya
7JC,Itek Air
1CG,Conviasa
9MT,Air Serv Internatiional/CemAir
2EY,Air Tahoma
4HP,Aerogulf
8ZU,Global Executive Aviation
6JH,Maryland State Police
4TQ,Air Angles Inc.
2ED,Mexican Government
6WH,East African Air Charters
7YZ,Falcon Aviation Group
9BQ,XL Airways leased from Air New Zealand
3TV,Webstas Aviation Services Inc.
5VM,Rotorcraft Leasing Co
9NR,Alantis Aviation
2FW,Aerotaxi Manaus
1QJ,Air One Executive
2SA,Continental Connection/Colgan Air
6KF,Flight Service
0CJ,Cougar Helicopters
8NW,Eagle Cap Leasing
2FB,Bond Offshore Helicopters
4HS,Aviastar Mandiri
5KK,Mimika Air
3UT,Aerotuy airline
1EG,Bako Air
5WL,Strait Air
